# file...... Result_no_control/Load32_voltage.csv
# date...... Thu Mar 10 17:27:05 2016
# user...... chepeadan
# host...... (null)
# target.... load 982
# trigger... (none)
# interval.. 0
# limit..... 0
# timestamp,voltage_C.real,voltage_C.imag
2000-01-01 01:37:00 EST,+0.171711,+251.606
2000-01-01 01:38:00 EST,+0.166287,+251.758
2000-01-01 01:39:00 EST,+0.111585,+251.77
2000-01-01 01:40:00 EST,+0.134655,+251.835
2000-01-01 01:41:00 EST,+0.0888603,+251.906
2000-01-01 01:42:00 EST,+0.0697915,+251.904
2000-01-01 01:43:00 EST,+0.0172033,+251.977
2000-01-01 01:44:00 EST,+0.0116411,+251.976
2000-01-01 01:45:00 EST,+0.0110617,+251.97
2000-01-01 01:46:00 EST,+0.0213615,+251.967
2000-01-01 01:47:00 EST,+0.0139206,+251.948
2000-01-01 01:48:00 EST,+0.0126717,+251.912
2000-01-01 01:49:00 EST,+0.0495307,+251.97
2000-01-01 01:50:00 EST,+0.0183966,+252.035
2000-01-01 01:51:00 EST,+0.0119774,+252.034
2000-01-01 01:52:00 EST,+0.0131366,+252.045
2000-01-01 01:53:00 EST,+0.0304849,+252.048
2000-01-01 01:54:00 EST,+0.0467251,+252.011
2000-01-01 01:55:00 EST,+0.0929552,+251.985
2000-01-01 01:56:00 EST,+0.0919729,+251.977
2000-01-01 01:57:00 EST,+0.113601,+251.855
2000-01-01 01:58:00 EST,+0.0663346,+251.845
2000-01-01 01:59:00 EST,+0.0294143,+251.739
2000-01-01 02:00:00 EST,+0.0470885,+251.705
2000-01-01 02:01:00 EST,+0.0733763,+251.778
2000-01-01 02:02:00 EST,+0.110015,+251.773
2000-01-01 02:03:00 EST,+0.106993,+251.737
2000-01-01 02:04:00 EST,+0.0741094,+251.761
2000-01-01 02:05:00 EST,+0.0741094,+251.761
2000-01-01 02:06:00 EST,+0.0532239,+251.785
2000-01-01 02:07:00 EST,+0.0532239,+251.785
2000-01-01 02:08:00 EST,+0.0532239,+251.785
2000-01-01 02:09:00 EST,+0.0441009,+251.699
2000-01-01 02:10:00 EST,+0.0197407,+251.649
2000-01-01 02:11:00 EST,-0.0105971,+251.663
2000-01-01 02:12:00 EST,-0.0212334,+251.578
2000-01-01 02:13:00 EST,-0.0495944,+251.585
2000-01-01 02:14:00 EST,-0.0674254,+251.625
2000-01-01 02:15:00 EST,-0.088061,+251.649
2000-01-01 02:16:00 EST,-0.088061,+251.649
2000-01-01 02:17:00 EST,-0.0820876,+251.706
2000-01-01 02:18:00 EST,-0.101425,+251.702
2000-01-01 02:19:00 EST,-0.0630301,+251.742
2000-01-01 02:20:00 EST,-0.0499952,+251.766
2000-01-01 02:21:00 EST,-0.0784804,+251.795
2000-01-01 02:22:00 EST,-0.0575799,+251.789
2000-01-01 02:23:00 EST,-0.0870458,+251.746
2000-01-01 02:24:00 EST,-0.0803652,+251.686
2000-01-01 02:25:00 EST,-0.0835439,+251.637
2000-01-01 02:26:00 EST,-0.0666981,+251.561
2000-01-01 02:27:00 EST,-0.0614034,+251.576
2000-01-01 02:28:00 EST,-0.0640066,+251.607
2000-01-01 02:29:00 EST,+0.0107992,+251.593
2000-01-01 02:30:00 EST,+0.0228945,+251.658
2000-01-01 02:31:00 EST,+0.0291833,+251.747
2000-01-01 02:32:00 EST,+0.0826557,+251.782
2000-01-01 02:33:00 EST,+0.0873114,+251.823
2000-01-01 02:34:00 EST,+0.0536814,+251.905
2000-01-01 02:35:00 EST,+0.0536814,+251.905
2000-01-01 02:36:00 EST,+0.0791085,+251.947
2000-01-01 02:37:00 EST,+0.054253,+251.887
2000-01-01 02:38:00 EST,+0.0638175,+251.876
2000-01-01 02:39:00 EST,+0.0638174,+251.876
2000-01-01 02:40:00 EST,+0.068598,+251.9
2000-01-01 02:41:00 EST,+0.0478865,+251.897
2000-01-01 02:42:00 EST,-0.0110285,+251.838
2000-01-01 02:43:00 EST,-0.00452493,+251.907
2000-01-01 02:44:00 EST,+0.025823,+251.915
2000-01-01 02:45:00 EST,+0.034901,+251.883
2000-01-01 02:46:00 EST,+0.0464178,+251.996
2000-01-01 02:47:00 EST,+0.0924245,+252.064
2000-01-01 02:48:00 EST,+0.130075,+252.043
2000-01-01 02:49:00 EST,+0.118281,+252.035
2000-01-01 02:50:00 EST,+0.154591,+252.022
2000-01-01 02:51:00 EST,+0.118051,+252.041
2000-01-01 02:52:00 EST,+0.168164,+252.032
2000-01-01 02:53:00 EST,+0.170976,+252.028
2000-01-01 02:54:00 EST,+0.122431,+252.041
2000-01-01 02:55:00 EST,+0.150007,+252.03
2000-01-01 02:56:00 EST,+0.174556,+251.98
2000-01-01 02:57:00 EST,+0.166037,+251.99
2000-01-01 02:58:00 EST,+0.166037,+251.99
2000-01-01 02:59:00 EST,+0.172205,+252.065
2000-01-01 03:00:00 EST,+0.177418,+252.114
2000-01-01 03:01:00 EST,+0.168493,+252.011
2000-01-01 03:02:00 EST,+0.147673,+251.983
2000-01-01 03:03:00 EST,+0.136095,+251.958
2000-01-01 03:04:00 EST,+0.122372,+251.828
2000-01-01 03:05:00 EST,+0.121111,+251.83
2000-01-01 03:06:00 EST,+0.0896128,+251.824
2000-01-01 03:07:00 EST,+0.0894073,+251.824
2000-01-01 03:08:00 EST,+0.0937702,+251.779
2000-01-01 03:09:00 EST,+0.0415816,+251.725
2000-01-01 03:10:00 EST,-0.00746115,+251.717
2000-01-01 03:11:00 EST,-0.0157161,+251.628
2000-01-01 03:12:00 EST,-0.0192689,+251.587
2000-01-01 03:13:00 EST,-0.0192689,+251.587
2000-01-01 03:14:00 EST,-0.059703,+251.608
2000-01-01 03:15:00 EST,-0.0452799,+251.684
2000-01-01 03:16:00 EST,-0.000146401,+251.58
2000-01-01 03:17:00 EST,+0.00414658,+251.523
2000-01-01 03:18:00 EST,+0.0456921,+251.658
2000-01-01 03:19:00 EST,+0.021789,+251.717
2000-01-01 03:20:00 EST,+0.0197966,+251.696
2000-01-01 03:21:00 EST,+0.0193766,+251.6
2000-01-01 03:22:00 EST,+0.054468,+251.514
2000-01-01 03:23:00 EST,+0.0300102,+251.581
2000-01-01 03:24:00 EST,+0.0562936,+251.586
2000-01-01 03:25:00 EST,+0.0416895,+251.649
2000-01-01 03:26:00 EST,+0.0252295,+251.679
2000-01-01 03:27:00 EST,-0.0914019,+250.548
2000-01-01 03:28:00 EST,-0.0999223,+250.558
2000-01-01 03:29:00 EST,-0.103896,+250.515
2000-01-01 03:30:00 EST,-0.100334,+250.556
2000-01-01 03:31:00 EST,-0.121216,+250.575
2000-01-01 03:32:00 EST,-0.144922,+250.501
2000-01-01 03:33:00 EST,-0.150967,+250.477
2000-01-01 03:34:00 EST,-0.162127,+250.488
2000-01-01 03:35:00 EST,-0.156336,+250.55
2000-01-01 03:36:00 EST,-0.135799,+250.506
2000-01-01 03:37:00 EST,-0.108724,+250.474
2000-01-01 03:38:00 EST,-0.128058,+250.47
2000-01-01 03:39:00 EST,-0.1102,+250.426
2000-01-01 03:40:00 EST,-0.162823,+250.354
2000-01-01 03:41:00 EST,-0.147646,+250.388
2000-01-01 03:42:00 EST,-0.152711,+250.377
2000-01-01 03:43:00 EST,-0.14253,+250.409
2000-01-01 03:44:00 EST,-0.15061,+250.53
2000-01-01 03:45:00 EST,-0.127442,+250.502
2000-01-01 03:46:00 EST,-0.136398,+250.501
2000-01-01 03:47:00 EST,+0.00178821,+251.679
2000-01-01 03:48:00 EST,-0.00187457,+251.684
2000-01-01 03:49:00 EST,-0.000704085,+251.682
2000-01-01 03:50:00 EST,+0.00786673,+251.671
2000-01-01 03:51:00 EST,+0.00610138,+251.644
2000-01-01 03:52:00 EST,+0.00176037,+251.711
2000-01-01 03:53:00 EST,+0.0247933,+251.738
2000-01-01 03:54:00 EST,+0.0231607,+251.747
2000-01-01 03:55:00 EST,+0.0631105,+251.755
2000-01-01 03:56:00 EST,+0.0605239,+251.809
2000-01-01 03:57:00 EST,+0.0505591,+251.804
2000-01-01 03:58:00 EST,+0.0822949,+251.811
2000-01-01 03:59:00 EST,+0.0642073,+251.82
2000-01-01 04:00:00 EST,+0.0686759,+251.87
2000-01-01 04:01:00 EST,+0.0875019,+252.022
2000-01-01 04:02:00 EST,+0.0505623,+252.1
2000-01-01 04:03:00 EST,+0.056108,+252.117
2000-01-01 04:04:00 EST,+0.108809,+252.127
2000-01-01 04:05:00 EST,+0.0897343,+252.124
2000-01-01 04:06:00 EST,+0.114947,+252.063
2000-01-01 04:07:00 EST,+0.139816,+252.071
