# file...... Result_no_control/Transformer_output_power.csv
# date...... Thu Mar 10 11:53:05 2016
# user...... chepeadan
# host...... (null)
# target.... transformer 1031
# trigger... (none)
# interval.. 0
# limit..... 0
# timestamp,power_out.real,power_out.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag
2000-01-01 00:01:00 EST,+2901.96,+953.517,+1177.95,+386.95,+931.595,+306.221,+792.412,+260.346
2000-01-01 00:02:00 EST,+2908.96,+955.82,+1154.91,+379.399,+931.594,+306.203,+822.457,+270.217
2000-01-01 00:03:00 EST,+3256.67,+1069.99,+1442.67,+473.864,+931.499,+306.304,+882.504,+289.818
2000-01-01 00:04:00 EST,+3660.41,+1202.56,+1596.9,+524.383,+1141.01,+375.152,+922.502,+303.027
2000-01-01 00:05:00 EST,+4063.03,+1334.81,+1596.74,+524.397,+1301.4,+427.718,+1164.89,+382.698
2000-01-01 00:06:00 EST,+4161.37,+1367.07,+1715.18,+563.127,+1341.5,+441.029,+1104.68,+362.916
2000-01-01 00:07:00 EST,+4303.87,+1413.82,+1857.8,+609.854,+1341.43,+441.145,+1104.63,+362.823
2000-01-01 00:08:00 EST,+4512.61,+1482.3,+2053.66,+674.01,+1354.39,+445.567,+1104.56,+362.72
2000-01-01 00:09:00 EST,+4665.22,+1532.34,+2206.37,+724.032,+1354.33,+445.669,+1104.51,+362.638
2000-01-01 00:10:00 EST,+6966.31,+2283.89,+4412.26,+1443.55,+1353.2,+447.416,+1200.85,+392.924
2000-01-01 00:11:00 EST,+4766.07,+1565.58,+1797.55,+590.059,+1625.43,+534.228,+1343.08,+441.289
2000-01-01 00:12:00 EST,+4961.64,+1629.75,+1993.27,+654.213,+1625.35,+534.352,+1343.02,+441.185
2000-01-01 00:13:00 EST,+4901.54,+1610,+1993.3,+654.149,+1625.39,+534.412,+1282.85,+421.443
2000-01-01 00:14:00 EST,+5026.99,+1651.16,+2058.57,+675.472,+1685.62,+554.245,+1282.8,+421.444
2000-01-01 00:15:00 EST,+4966.76,+1631.41,+1998.29,+655.731,+1685.65,+554.194,+1282.82,+421.482
2000-01-01 00:16:00 EST,+5043.03,+1656.42,+2114.72,+693.846,+1685.63,+554.305,+1242.69,+408.265
2000-01-01 00:17:00 EST,+7148.06,+2346.33,+4180.85,+1370.63,+1624.76,+535.422,+1342.45,+440.276
2000-01-01 00:18:00 EST,+7148.07,+2346.33,+4180.87,+1370.64,+1624.76,+535.421,+1342.45,+440.276
2000-01-01 00:19:00 EST,+7082.62,+2324.91,+4115.36,+1349.23,+1624.79,+535.368,+1342.47,+440.319
2000-01-01 00:20:00 EST,+4997.68,+1641.58,+2049.4,+672.598,+1625.36,+534.405,+1322.92,+434.577
2000-01-01 00:21:00 EST,+4997.69,+1641.58,+2049.41,+672.599,+1625.36,+534.404,+1322.92,+434.577
2000-01-01 00:22:00 EST,+5010.74,+1645.86,+2062.47,+676.877,+1625.35,+534.415,+1322.92,+434.569
2000-01-01 00:23:00 EST,+5027.77,+1651.45,+2079.51,+682.468,+1625.35,+534.423,+1322.91,+434.562
2000-01-01 00:24:00 EST,+5346.55,+1756.11,+2204.93,+723.788,+1625.2,+534.352,+1516.42,+497.969
2000-01-01 00:25:00 EST,+5462.5,+1794.21,+2126.36,+698.485,+1496.67,+491.888,+1839.46,+603.837
2000-01-01 00:26:00 EST,+5546.79,+1821.87,+2033.99,+668.37,+1500.64,+493.033,+2012.15,+660.469
2000-01-01 00:27:00 EST,+5482.62,+1800.83,+2034,+668.119,+1619.15,+531.983,+1829.46,+600.726
2000-01-01 00:28:00 EST,+5482.62,+1800.83,+2034,+668.119,+1619.15,+531.983,+1829.46,+600.726
2000-01-01 00:29:00 EST,+5802.6,+1905.83,+2354.26,+773.133,+1619.01,+532.216,+1829.32,+600.479
2000-01-01 00:30:00 EST,+6026.45,+1979.26,+2518.15,+826.871,+1618.89,+532.356,+1889.42,+620.036
2000-01-01 00:31:00 EST,+5631.67,+1849.57,+2626.81,+862.58,+1316.95,+433.335,+1687.9,+553.652
2000-01-01 00:32:00 EST,+5571.52,+1829.83,+2606.76,+855.958,+1316.97,+433.348,+1647.79,+540.519
2000-01-01 00:33:00 EST,+5562.84,+1826.89,+2606.77,+856.506,+1114.37,+366.648,+1841.7,+603.736
2000-01-01 00:34:00 EST,+5597.95,+1838.41,+2641.9,+868.031,+1114.36,+366.66,+1841.69,+603.716
2000-01-01 00:35:00 EST,+5557.8,+1825.24,+2601.72,+854.852,+1114.37,+366.644,+1841.7,+603.744
2000-01-01 00:36:00 EST,+5722.1,+1879.21,+2661.91,+874.476,+1218.57,+400.923,+1841.62,+603.811
2000-01-01 00:37:00 EST,+5882.75,+1931.88,+2822.67,+927.19,+1218.53,+400.997,+1841.55,+603.693
2000-01-01 00:38:00 EST,+5890.18,+1934.21,+3023.87,+992.838,+1218.55,+401.202,+1647.76,+540.166
2000-01-01 00:39:00 EST,+5950.59,+1953.98,+3084.34,+1012.63,+1218.52,+401.247,+1647.73,+540.107
2000-01-01 00:40:00 EST,+5859.03,+1923.52,+3388.91,+1112.2,+1035.06,+341.168,+1435.06,+470.154
2000-01-01 00:41:00 EST,+5994.7,+1968.01,+3414.34,+1120.66,+1035.01,+341.157,+1545.35,+506.185
2000-01-01 00:42:00 EST,+6188.73,+2031.81,+3414.2,+1120.41,+1229.25,+405.09,+1545.28,+506.304
2000-01-01 00:43:00 EST,+6241.6,+2049.25,+3331.67,+1093.55,+1264.28,+416.526,+1645.65,+539.175
2000-01-01 00:44:00 EST,+6458.51,+2120.63,+3227.54,+1059.72,+1363.48,+448.97,+1867.49,+611.939
