# file...... Result_no_control/Load53_voltage.csv
# date...... Thu Mar 10 11:53:05 2016
# user...... chepeadan
# host...... (null)
# target.... load 1024
# trigger... (none)
# interval.. 0
# limit..... 0
# timestamp,voltage_B.real,voltage_B.imag
2000-01-01 00:01:00 EST,-218.213,-125.933
2000-01-01 00:02:00 EST,-218.212,-125.938
2000-01-01 00:03:00 EST,-218.253,-125.908
2000-01-01 00:04:00 EST,-218.194,-125.874
2000-01-01 00:05:00 EST,-218.126,-125.871
2000-01-01 00:06:00 EST,-218.116,-125.837
2000-01-01 00:07:00 EST,-218.136,-125.815
2000-01-01 00:08:00 EST,-218.155,-125.785
2000-01-01 00:09:00 EST,-218.17,-125.767
2000-01-01 00:10:00 EST,-218.538,-125.379
2000-01-01 00:11:00 EST,-218.007,-125.794
2000-01-01 00:12:00 EST,-218.023,-125.776
2000-01-01 00:13:00 EST,-218.019,-125.764
2000-01-01 00:14:00 EST,-217.999,-125.745
2000-01-01 00:15:00 EST,-217.993,-125.752
2000-01-01 00:16:00 EST,-217.998,-125.735
2000-01-01 00:17:00 EST,-218.134,-125.628
2000-01-01 00:18:00 EST,-218.134,-125.628
2000-01-01 00:19:00 EST,-218.128,-125.635
2000-01-01 00:20:00 EST,-218.022,-125.766
2000-01-01 00:21:00 EST,-218.022,-125.766
2000-01-01 00:22:00 EST,-218.023,-125.764
2000-01-01 00:23:00 EST,-218.024,-125.763
2000-01-01 00:24:00 EST,-218.044,-125.782
2000-01-01 00:25:00 EST,-218.089,-125.862
2000-01-01 00:26:00 EST,-218.09,-125.889
2000-01-01 00:27:00 EST,-218.032,-125.849
2000-01-01 00:28:00 EST,-218.032,-125.849
2000-01-01 00:29:00 EST,-218.069,-125.807
2000-01-01 00:30:00 EST,-218.101,-125.78
2000-01-01 00:31:00 EST,-218.231,-125.803
2000-01-01 00:32:00 EST,-218.228,-125.8
2000-01-01 00:33:00 EST,-218.356,-125.887
2000-01-01 00:34:00 EST,-218.358,-125.885
2000-01-01 00:35:00 EST,-218.355,-125.888
2000-01-01 00:36:00 EST,-218.309,-125.862
2000-01-01 00:37:00 EST,-218.321,-125.848
2000-01-01 00:38:00 EST,-218.323,-125.803
2000-01-01 00:39:00 EST,-218.336,-125.788
2000-01-01 00:40:00 EST,-218.421,-125.744
2000-01-01 00:41:00 EST,-218.447,-125.739
2000-01-01 00:42:00 EST,-218.4,-125.716
2000-01-01 00:43:00 EST,-218.395,-125.737
2000-01-01 00:44:00 EST,-218.341,-125.763
2000-01-01 00:45:00 EST,-218.296,-125.756
2000-01-01 00:46:00 EST,-218.252,-125.801
2000-01-01 00:47:00 EST,-218.24,-125.736
2000-01-01 00:48:00 EST,-218.119,-125.691
2000-01-01 00:49:00 EST,-218.125,-125.658
2000-01-01 00:50:00 EST,-218.062,-125.621
2000-01-01 00:51:00 EST,-218.061,-125.637
2000-01-01 00:52:00 EST,-218.019,-125.617
2000-01-01 00:53:00 EST,-218.029,-125.606
2000-01-01 00:54:00 EST,-218.449,-125.107
2000-01-01 00:55:00 EST,-218.462,-125.173
2000-01-01 00:56:00 EST,-218.411,-125.127
2000-01-01 00:57:00 EST,-217.97,-125.602
2000-01-01 00:58:00 EST,-217.97,-125.616
2000-01-01 00:59:00 EST,-217.997,-125.702
2000-01-01 01:00:00 EST,-218.003,-125.695
2000-01-01 01:01:00 EST,-217.903,-125.834
2000-01-01 01:02:00 EST,-217.881,-125.857
2000-01-01 01:03:00 EST,-217.913,-125.859
2000-01-01 01:04:00 EST,-217.874,-125.847
2000-01-01 01:05:00 EST,-217.875,-125.885
2000-01-01 01:06:00 EST,-217.866,-125.857
2000-01-01 01:07:00 EST,-217.85,-125.876
2000-01-01 01:08:00 EST,-217.97,-125.871
2000-01-01 01:09:00 EST,-217.946,-125.899
2000-01-01 01:10:00 EST,-217.967,-125.944
2000-01-01 01:11:00 EST,-217.958,-125.966
2000-01-01 01:12:00 EST,-218.051,-126.005
2000-01-01 01:13:00 EST,-218.048,-125.952
2000-01-01 01:14:00 EST,-218.169,-125.945
2000-01-01 01:15:00 EST,-218.169,-125.945
2000-01-01 01:16:00 EST,-218.251,-126.016
2000-01-01 01:17:00 EST,-218.175,-125.91
2000-01-01 01:18:00 EST,-218.109,-125.973
2000-01-01 01:19:00 EST,-218.095,-125.93
2000-01-01 01:20:00 EST,-218.098,-125.939
2000-01-01 01:21:00 EST,-217.979,-125.861
2000-01-01 01:22:00 EST,-217.935,-125.853
2000-01-01 01:23:00 EST,-217.933,-125.846
2000-01-01 01:24:00 EST,-218.031,-125.896
2000-01-01 01:25:00 EST,-217.981,-125.873
2000-01-01 01:26:00 EST,-217.936,-125.829
2000-01-01 01:27:00 EST,-217.931,-125.817
2000-01-01 01:28:00 EST,-217.808,-125.826
2000-01-01 01:29:00 EST,-217.727,-125.767
2000-01-01 01:30:00 EST,-217.727,-125.767
2000-01-01 01:31:00 EST,-217.763,-125.744
2000-01-01 01:32:00 EST,-217.776,-125.729
2000-01-01 01:33:00 EST,-217.776,-125.729
2000-01-01 01:34:00 EST,-217.772,-125.717
2000-01-01 01:35:00 EST,-217.791,-125.782
2000-01-01 01:36:00 EST,-217.818,-125.799
2000-01-01 01:37:00 EST,-217.636,-125.7
2000-01-01 01:38:00 EST,-217.659,-125.653
2000-01-01 01:39:00 EST,-217.76,-125.678
2000-01-01 01:40:00 EST,-217.705,-125.636
2000-01-01 01:41:00 EST,-217.784,-125.604
2000-01-01 01:42:00 EST,-217.803,-125.593
2000-01-01 01:43:00 EST,-217.89,-125.568
2000-01-01 01:44:00 EST,-217.903,-125.574
2000-01-01 01:45:00 EST,-217.903,-125.576
2000-01-01 01:46:00 EST,-217.88,-125.567
2000-01-01 01:47:00 EST,-217.912,-125.601
2000-01-01 01:48:00 EST,-217.928,-125.679
2000-01-01 01:49:00 EST,-217.876,-125.686
2000-01-01 01:50:00 EST,-217.98,-125.701
2000-01-01 01:51:00 EST,-217.994,-125.707
2000-01-01 01:52:00 EST,-217.992,-125.702
2000-01-01 01:53:00 EST,-217.955,-125.684
2000-01-01 01:54:00 EST,-217.939,-125.712
2000-01-01 01:55:00 EST,-217.856,-125.727
2000-01-01 01:56:00 EST,-217.857,-125.73
2000-01-01 01:57:00 EST,-217.838,-125.807
2000-01-01 01:58:00 EST,-217.943,-125.854
2000-01-01 01:59:00 EST,-218.061,-125.942
2000-01-01 02:00:00 EST,-218.024,-125.937
2000-01-01 02:01:00 EST,-217.993,-125.912
2000-01-01 02:02:00 EST,-217.863,-125.876
2000-01-01 02:03:00 EST,-217.868,-125.89
2000-01-01 02:04:00 EST,-217.919,-125.871
2000-01-01 02:05:00 EST,-217.919,-125.871
2000-01-01 02:06:00 EST,-217.94,-125.847
2000-01-01 02:07:00 EST,-217.94,-125.847
2000-01-01 02:08:00 EST,-217.94,-125.847
2000-01-01 02:09:00 EST,-217.958,-125.899
2000-01-01 02:10:00 EST,-217.989,-125.923
2000-01-01 02:11:00 EST,-218.058,-125.946
2000-01-01 02:12:00 EST,-218.075,-125.976
2000-01-01 02:13:00 EST,-218.134,-125.988
2000-01-01 02:14:00 EST,-218.151,-125.957
2000-01-01 02:15:00 EST,-218.173,-125.932
2000-01-01 02:16:00 EST,-218.173,-125.932
2000-01-01 02:17:00 EST,-218.164,-125.907
2000-01-01 02:18:00 EST,-218.207,-125.926
2000-01-01 02:19:00 EST,-218.136,-125.887
2000-01-01 02:20:00 EST,-218.119,-125.885
2000-01-01 02:21:00 EST,-218.207,-125.91
2000-01-01 02:22:00 EST,-218.23,-125.921
2000-01-01 02:23:00 EST,-218.268,-125.916
2000-01-01 02:24:00 EST,-218.25,-125.928
2000-01-01 02:25:00 EST,-218.257,-125.947
2000-01-01 02:26:00 EST,-218.238,-125.998
2000-01-01 02:27:00 EST,-218.214,-125.969
2000-01-01 02:28:00 EST,-218.194,-125.922
2000-01-01 02:29:00 EST,-218.041,-125.887
2000-01-01 02:30:00 EST,-218.022,-125.85
2000-01-01 02:31:00 EST,-218.007,-125.794
2000-01-01 02:32:00 EST,-217.913,-125.761
2000-01-01 02:33:00 EST,-217.907,-125.744
2000-01-01 02:34:00 EST,-217.947,-125.676
2000-01-01 02:35:00 EST,-217.947,-125.676
2000-01-01 02:36:00 EST,-217.918,-125.673
2000-01-01 02:37:00 EST,-217.953,-125.702
2000-01-01 02:38:00 EST,-217.943,-125.713
2000-01-01 02:39:00 EST,-217.943,-125.713
2000-01-01 02:40:00 EST,-217.912,-125.668
2000-01-01 02:41:00 EST,-217.957,-125.69
2000-01-01 02:42:00 EST,-218.085,-125.777
2000-01-01 02:43:00 EST,-218.075,-125.749
